Date,BCE.TO,BNS.TO,CP.TO,ENB.TO,RY.TO
2020-01-02,41.0204963684082,52.851646423339844,64.13175964355469,35.020843505859375,82.62269592285156
2020-01-03,41.04800033569336,52.80141830444336,64.00165557861328,34.98008728027344,82.31948852539062
2020-01-06,41.43303680419922,52.60528564453125,64.25802612304688,35.22459411621094,82.33544921875
2020-01-07,41.58430862426758,52.11133575439453,64.8741226196289,35.081974029541016,82.36737060546875
2020-01-08,41.694313049316406,52.58349609375,64.81292724609375,35.34006881713867,83.02165985107422
2020-01-09,41.45365905761719,52.50359344482422,64.49910736083984,35.3944091796875,83.32483673095703
2020-01-10,41.6118049621582,52.292930603027344,64.5373764038086,35.43516159057617,83.22112274169922
2020-01-13,41.886837005615234,52.50359344482422,65.57823181152344,35.67967987060547,83.54825592041016
2020-01-14,41.8662109375,52.3801155090332,65.45962524414062,35.70005798339844,83.81954193115234
2020-01-15,42.017478942871094,52.51085662841797,65.41751861572266,35.64572525024414,84.13870239257812
2020-01-16,42.320003509521484,52.69245147705078,65.10566711425781,35.856285095214844,84.69725036621094
2020-01-17,42.69816207885742,52.648868560791016,65.64329528808594,35.97853469848633,85.01639556884766
2020-01-20,42.595027923583984,52.77235412597656,65.49022674560547,36.04646301269531,85.42333221435547
2020-01-21,42.505645751953125,52.757835388183594,64.70384979248047,36.20269012451172,85.20789337158203
2020-01-22,42.76692199707031,53.28082275390625,64.91432189941406,36.46758270263672,85.16002655029297
2020-01-23,43.000701904296875,53.35347366333008,65.44815063476562,36.57625198364258,85.62279510498047
2020-01-24,42.93193817138672,53.27356719970703,65.71981811523438,36.65097427368164,85.22795867919922
2020-01-27,43.10383605957031,53.22271728515625,64.88178253173828,36.54908752441406,84.8895492553711
2020-01-28,43.41324996948242,53.106502532958984,65.77339935302734,36.74606704711914,85.17157745361328
2020-01-29,43.1519660949707,52.975746154785156,66.69181060791016,36.902286529541016,85.23603057861328
2020-01-30,43.19321823120117,52.73603439331055,67.99099731445312,36.92946243286133,85.04265594482422
2020-01-31,42.876930236816406,52.50359344482422,67.26390838623047,36.54908752441406,84.26908874511719
2020-02-03,42.85630416870117,52.50359344482422,67.49542999267578,37.07888412475586,84.41413116455078
2020-02-04,43.11758804321289,53.012062072753906,68.28754425048828,37.207942962646484,85.76785278320312
2020-02-05,43.227596282958984,53.2445182800293,69.2002182006836,37.75132369995117,86.17882537841797
2020-02-06,44.14208221435547,53.78203582763672,69.02610778808594,38.02300262451172,86.72672271728516
2020-02-07,44.155818939208984,54.00722122192383,67.968017578125,38.12489318847656,86.41249084472656
2020-02-10,44.27269744873047,54.00722122192383,68.22249603271484,38.539215087890625,86.55752563476562
2020-02-11,44.169559478759766,53.95637130737305,68.63578033447266,38.6411018371582,86.83954620361328
2020-02-12,44.32083511352539,54.217864990234375,69.34371948242188,38.80411911010742,87.07322692871094
2020-02-13,44.10768127441406,54.25419616699219,69.42598724365234,38.41139221191406,87.274658203125
2020-02-14,44.231449127197266,54.28325653076172,68.66639709472656,38.60430908203125,87.26660919189453
2020-02-18,44.8227653503418,54.20335388183594,68.22249603271484,37.85329818725586,86.90400695800781
2020-02-19,44.74025344848633,54.210609436035156,68.38323211669922,38.26670455932617,86.83148956298828
2020-02-20,44.602745056152344,54.210609436035156,68.5554428100586,38.17714309692383,87.02486419677734
2020-02-21,44.32771301269531,53.92732238769531,67.16825103759766,38.10823059082031,87.99987030029297
2020-02-24,43.94267272949219,53.13555145263672,67.03813171386719,37.357234954833984,87.28270721435547
2020-02-25,43.248226165771484,52.648868560791016,65.57249450683594,36.54422378540039,85.59058380126953
2020-02-26,42.98694610595703,52.663394927978516,65.34099578857422,35.95856475830078,83.7775650024414
2020-02-27,42.388771057128906,51.87890625,65.01764678955078,35.0284423828125,82.60914611816406
2020-02-28,40.53232955932617,51.007225036621094,63.6514892578125,34.422122955322266,80.43354034423828
2020-03-02,42.595027923583984,51.2614631652832,64.585205078125,35.07666778564453,82.423828125
2020-03-03,42.51252365112305,50.58592224121094,63.454429626464844,34.86307144165039,81.04594421386719
2020-03-04,43.72264862060547,51.37767791748047,65.89202117919922,35.834556579589844,81.52941131591797
2020-03-05,43.090084075927734,49.94669723510742,64.11453247070312,35.57962417602539,80.41742706298828
2020-03-06,42.89755630493164,48.73360824584961,63.0717658996582,35.12489700317383,78.56414031982422
2020-03-09,39.562843322753906,43.140403747558594,53.15676498413086,29.420021057128906,71.9969711303711
2020-03-10,41.556793212890625,43.801422119140625,58.94273376464844,30.618873596191406,74.43850708007812
2020-03-11,39.892879486083984,42.47938919067383,57.14228057861328,29.599164962768555,70.80441284179688
2020-03-12,34.907981872558594,36.79900360107422,53.04386901855469,24.714197158813477,63.34283447265625
2020-03-13,39.02043533325195,42.9951286315918,57.850223541259766,29.826536178588867,72.77857208251953
2020-03-16,35.434356689453125,38.251792907714844,50.41492462158203,26.271324157714844,67.56512451171875
2020-03-17,37.58041763305664,39.239681243896484,53.62934875488281,26.161087036132812,71.7955322265625
2020-03-18,36.02854919433594,36.28326416015625,51.0558967590332,23.487791061401367,64.46286010742188
2020-03-19,38.16761016845703,36.813541412353516,53.46672821044922,24.817550659179688,66.15501403808594
2020-03-20,36.20331573486328,36.34136962890625,51.3084602355957,25.527212142944336,63.254188537597656
2020-03-23,32.463436126708984,33.937015533447266,50.57181167602539,23.749608993530273,58.21803283691406
2020-03-24,35.54621887207031,37.961219787597656,57.31447219848633,27.125675201416016,65.87300872802734
2020-03-25,37.41963195800781,41.58592224121094,57.2857780456543,27.959362030029297,68.5885009765625
2020-03-26,38.41925811767578,42.18156814575195,59.27735137939453,28.896387100219727,69.62796783447266
2020-03-27,37.52449417114258,39.43581008911133,56.41661071777344,26.78118133544922,66.50956726074219
